order_id,order_date,region,category,amount,status
O-1001,2026-05-03,华东,办公软件,1299.00,paid
O-1002,2026-05-07,华南,数据服务,2380.00,paid
O-1003,2026-05-14,华北,协作工具,899.00,refunded
O-1004,2026-05-22,华东,数据服务,3280.00,paid
O-1005,2026-05-27,西南,办公软件,1599.00,paid
O-1006,2026-06-02,华南,协作工具,1099.00,paid
O-1007,2026-06-09,华北,数据服务,2680.00,paid
O-1008,2026-06-16,华东,办公软件,1899.00,paid
O-1009,2026-06-21,西南,协作工具,799.00,refunded
O-1010,2026-06-28,华南,数据服务,3580.00,paid
O-1011,2026-07-04,华北,办公软件,1399.00,paid
O-1012,2026-07-08,华东,协作工具,1199.00,paid
O-1013,2026-07-15,西南,数据服务,2880.00,paid
O-1014,2026-07-19,华南,办公软件,1699.00,refunded
O-1015,2026-07-24,华北,协作工具,999.00,paid
O-1016,2026-08-02,华东,数据服务,3980.00,paid
O-1017,2026-08-10,西南,办公软件,1799.00,paid
O-1018,2026-08-18,华南,协作工具,1299.00,paid
